,Open,High,Low,Close
2021-08-13,1.17398,1.1744,1.17385,1.17398
2021-08-13,1.17398,1.1744,1.17371,1.17398
2021-08-13,1.17398,1.17481,1.17385,1.17426
2021-08-13,1.17426,1.17481,1.17426,1.17454
2021-08-13,1.17481,1.17481,1.17412,1.17426
2021-08-13,1.1744,1.17481,1.17412,1.17454
2021-08-13,1.17454,1.17467,1.17398,1.17398
2021-08-13,1.17398,1.17454,1.17357,1.17385
2021-08-13,1.17371,1.17454,1.17343,1.17426
2021-08-13,1.17385,1.17481,1.17371,1.17454
2021-08-13,1.17454,1.1755,1.1744,1.17523
2021-08-13,1.17523,1.17578,1.17495,1.17523
2021-08-13,1.17536,1.17702,1.17523,1.17619
2021-08-13,1.17633,1.1773,1.17633,1.17702
2021-08-13,1.17702,1.17786,1.17675,1.17689
2021-08-13,1.17702,1.1798,1.17702,1.17966
2021-08-13,1.17952,1.1805,1.17952,1.18008
2021-08-13,1.17994,1.18106,1.17994,1.18036
2021-08-13,1.18036,1.18078,1.18022,1.18064
2021-08-13,1.18022,1.18064,1.17966,1.1798
2021-08-13,1.17994,1.1805,1.1798,1.18008
2021-08-13,1.18008,1.18008,1.17952,1.17952
2021-08-13,1.17938,1.17938,1.17925,1.17925
2021-08-16,1.17994,1.18036,1.17952,1.17966
2021-08-16,1.17994,1.18022,1.17966,1.1798
2021-08-16,1.18022,1.18078,1.1798,1.18022
2021-08-16,1.18008,1.18064,1.17994,1.17994
2021-08-16,1.17994,1.18008,1.17938,1.17952
2021-08-16,1.17938,1.18008,1.17938,1.18008
2021-08-16,1.17966,1.17994,1.17911,1.17911
2021-08-16,1.17911,1.1798,1.17869,1.17883
2021-08-16,1.17911,1.17966,1.17841,1.17883
2021-08-16,1.17841,1.1798,1.17841,1.17897
2021-08-16,1.17911,1.17925,1.17813,1.17855
2021-08-16,1.17855,1.17925,1.17827,1.17855
2021-08-16,1.17855,1.17869,1.17716,1.17716
2021-08-16,1.1773,1.17841,1.1773,1.17841
2021-08-16,1.17813,1.17911,1.17772,1.17772
2021-08-16,1.17772,1.17966,1.17772,1.17952
2021-08-16,1.17911,1.17925,1.17799,1.17799
2021-08-16,1.17786,1.17855,1.17786,1.17786
2021-08-16,1.17786,1.17827,1.17786,1.17813
2021-08-16,1.17827,1.17841,1.17786,1.17799
2021-08-16,1.17799,1.17855,1.17786,1.17813
2021-08-16,1.17813,1.17855,1.17786,1.17799
2021-08-16,1.17772,1.17855,1.17772,1.17799
2021-08-16,1.17813,1.17869,1.17799,1.17855
2021-08-17,1.17827,1.17869,1.17813,1.17813
2021-08-17,1.17813,1.17841,1.17758,1.17799
2021-08-17,1.17827,1.17841,1.17744,1.17786
2021-08-17,1.17772,1.17813,1.17744,1.17758
